date,state,commodity,unit,price
2023-02-15,Yobe,Oranges,400 G,108.6
2023-02-15,Yobe,Rice (local),2.7 KG,1563.2222222222222
2023-02-15,Yobe,Tomatoes,0.5 KG,75.88888888888889
2023-02-15,Yobe,Yam,2.5 KG,695.8888888888889
2023-03-15,Borno,Beans (red),2.5 KG,1150.0
2023-03-15,Borno,Oranges,400 G,131.0
2023-03-15,Borno,Rice (local),2.7 KG,1889.0
2023-03-15,Borno,Tomatoes,0.5 KG,61.5
2023-03-15,Borno,Yam,2.5 KG,579.75
2023-03-15,Yobe,Beans (red),2.5 KG,858.125
2023-03-15,Yobe,Oranges,400 G,113.83333333333333
2023-03-15,Yobe,Rice (local),2.7 KG,1631.8333333333333
2023-03-15,Yobe,Tomatoes,0.5 KG,58.75
2023-03-15,Yobe,Yam,2.5 KG,790.0
2023-04-15,Borno,Beans (red),2.5 KG,1237.5
2023-04-15,Borno,Oranges,400 G,146.2
2023-04-15,Borno,Rice (local),2.7 KG,1988.0
2023-04-15,Borno,Tomatoes,0.5 KG,57.75
2023-04-15,Borno,Yam,2.5 KG,620.4
2023-04-15,Yobe,Beans (red),2.5 KG,1118.8
2023-04-15,Yobe,Oranges,400 G,110.0
2023-04-15,Yobe,Rice (local),2.7 KG,1704.5
2023-04-15,Yobe,Tomatoes,0.5 KG,57.625
2023-04-15,Yobe,Yam,2.5 KG,735.8333333333334
2023-05-15,Borno,Beans (red),2.5 KG,1353.25
2023-05-15,Borno,Oranges,400 G,139.66666666666666
2023-05-15,Borno,Rice (local),2.7 KG,2092.6666666666665
2023-05-15,Borno,Tomatoes,0.5 KG,86.0
2023-05-15,Borno,Yam,2.5 KG,649.6666666666666
2023-05-15,Yobe,Beans (red),2.5 KG,1271.625
2023-05-15,Yobe,Oranges,400 G,120.0
2023-05-15,Yobe,Rice (local),2.7 KG,1739.2857142857142
2023-05-15,Yobe,Tomatoes,0.5 KG,76.33333333333333
2023-05-15,Yobe,Yam,2.5 KG,768.75
2023-06-15,Adamawa,Beans (red),2.5 KG,950.0
2023-06-15,Adamawa,Oranges,400 G,125.0
2023-06-15,Adamawa,Rice (local),2.7 KG,1750.0
2023-06-15,Adamawa,Tomatoes,0.5 KG,100.0
2023-06-15,Adamawa,Yam,2.5 KG,1400.0
2023-06-15,Borno,Beans (red),2.5 KG,1328.9444444444443
2023-06-15,Borno,Oranges,400 G,140.98454545454544
2023-06-15,Borno,Rice (local),2.7 KG,1898.743846153846
2023-06-15,Borno,Tomatoes,0.5 KG,136.38636363636363
2023-06-15,Borno,Yam,2.5 KG,1149.3891666666666
2023-06-15,Yobe,Beans (red),2.5 KG,1272.0
2023-06-15,Yobe,Oranges,400 G,108.14285714285714
2023-06-15,Yobe,Rice (local),2.7 KG,1834.2
2023-06-15,Yobe,Tomatoes,0.5 KG,132.5
2023-06-15,Yobe,Yam,2.5 KG,883.1666666666666
2023-07-15,Adamawa,Beans (red),2.5 KG,1213.71
2023-07-15,Adamawa,Oranges,400 G,161.29
2023-07-15,Adamawa,Rice (local),2.7 KG,1829.03
2023-07-15,Adamawa,Tomatoes,0.5 KG,193.97
2023-07-15,Adamawa,Yam,2.5 KG,1454.835
2023-07-15,Borno,Beans (red),2.5 KG,1362.4023076923077
2023-07-15,Borno,Oranges,400 G,151.31692307692308
